@relation adult.data-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N5-F1-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F4

@attribute age numeric
@attribute workclass {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' ?',' Self-emp-inc',' Without-pay',' Never-worked'}
@attribute fnlwgt numeric
@attribute education {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' Assoc-voc',' 7th-8th',' Doctorate',' Prof-school',' 5th-6th',' 10th',' 1st-4th',' Preschool',' 12th'}
@attribute education-num numeric
@attribute marital-status {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute occupation {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Craft-repair',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' ?',' Protective-serv',' Armed-Forces',' Priv-house-serv'}
@attribute relationship {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute race {' White',' Black',' Asian-Pac-Islander',' Amer-Indian-Eskimo',' Other'}
@attribute sex {' Male',' Female'}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country {' United-States',' Cuba',' Jamaica',' India',' ?',' Mexico',' South',' Puerto-Rico',' Honduras',' England',' Canada',' Germany',' Iran',' Philippines',' Italy',' Poland',' Columbia',' Cambodia',' Thailand',' Ecuador',' Laos',' Taiwan',' Haiti',' Portugal',' Dominican-Republic',' El-Salvador',' France',' Guatemala',' China',' Japan',' Yugoslavia',' Peru',' Outlying-US(Guam-USVI-etc)',' Scotland',' Trinadad&Tobago',' Greece',' Nicaragua',' Vietnam',' Hong',' Ireland',' Hungary',' Holand-Netherlands'}
@attribute income {' <=50K',' >50K'}

@data
23,' Private',197387,' 5th-6th',3,' Married-civ-spouse',' Transport-moving',' Other-relative',' White',' Male',0,0,40,' Mexico',' <=50K'
17,' Private',198124,' 11th',7,' Never-married',' Sales',' Own-child',' White',' Male',0,0,20,' United-States',' <=50K'
48,' Private',176026,' HS-grad',9,' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
25,' Private',192149,' Bachelors',13,' Never-married',' Adm-clerical',' Own-child',' White',' Female',0,0,40,' United-States',' <=50K'
28,' ?',157813,' 11th',7,' Divorced',' ?',' Unmarried',' White',' Female',0,0,58,' Canada',' <=50K'
24,' Private',102493,' HS-grad',9,' Married-civ-spouse',' Handlers-cleaners',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
29,' Private',446559,' Assoc-acdm',12,' Married-civ-spouse',' Exec-managerial',' Wife',' White',' Female',0,0,50,' United-States',' <=50K'
20,' ?',202994,' Some-college',10,' Never-married',' ?',' Own-child',' White',' Female',0,0,16,' United-States',' <=50K'
54,' Local-gov',182388,' HS-grad',9,' Married-civ-spouse',' Other-service',' Wife',' White',' Female',0,0,35,' United-States',' <=50K'
31,' Private',206541,' Some-college',10,' Married-civ-spouse',' Adm-clerical',' Husband',' White',' Male',0,0,40,' United-States',' <=50K'
22,' Private',113062,' Bachelors',13,' Never-married',' Exec-managerial',' Own-child',' White',' Female',0,0,7,' United-States',' <=50K'
37,' Local-gov',328301,' Bachelors',13,' Divorced',' Prof-specialty',' Not-in-family',' White',' Female',0,0,36,' United-States',' <=50K'
40,' Private',316820,' Some-college',10,' Married-civ-spouse',' Other-service',' Husband',' White',' Male',0,1485,40,' United-States',' <=50K'
53,' Private',31460,' HS-grad',9,' Divorced',' Prof-specialty',' Not-in-family',' White',' Male',0,0,40,' United-States',' <=50K'
42,' Private',175935,' HS-grad',9,' Divorced',' Transport-moving',' Not-in-family',' White',' Male',0,1980,46,' United-States',' <=50K'
