@relation winequality-white-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N6-F2-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N3-F2-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N5-F2

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute Quality {Good,Bad}

@data
7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,Good
6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,Good
6.4,0.26,0.42,9.7,0.044,30,140,0.9962,3.18,0.47,9.1,Good
5.5,0.16,0.22,4.5,0.03,30,102,0.9938,3.24,0.36,9.4,Good
7.2,0.24,0.4,1.4,0.045,31,106,0.9914,2.88,0.38,10.8,Good
6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,Good
7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,Good
8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,Good
7.5,0.42,0.45,9.1,0.029,20,125,0.996,3.12,0.36,10.1,Good
8.2,0.2,0.36,8.1,0.035,60,163,0.9952,3.05,0.3,10.3,Good
7.6,0.14,0.74,1.6,0.04,27,103,0.9916,3.07,0.4,10.8,Good
6.6,0.19,0.99,1.2,0.122,45,129,0.9936,3.09,0.31,8.7,Good
7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1,Good
7.3,0.17,0.23,6.3,0.051,35,240,0.9963,3.36,0.54,10,Good
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,Good
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,Good
7.6,0.2,0.34,1.8,0.041,42,148,0.99335,3.35,0.66,11.1,Good
8.5,0.3,0.28,3.1,0.054,54,174,0.99543,3.21,0.43,9.4,Good
7.3,0.22,0.31,2.3,0.018,45,80,0.98936,3.06,0.34,12.9,Good
7,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,Good
6.9,0.14,0.38,1,0.041,22,81,0.99043,3.03,0.54,11.4,Good
7.1,0.47,0.29,14.8,0.024,22,142,0.99518,3.12,0.48,12,Good
7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,Good
6.4,0.23,0.32,1.9,0.038,40,118,0.99074,3.32,0.53,11.8,Good
6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,Good
7.7,0.43,1,19.95,0.032,42,164,0.99742,3.29,0.5,12,Good
7,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,9.2,Good
6.2,0.22,0.2,20.8,0.035,58,184,1.00022,3.11,0.53,9,Good
7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,Good
6.5,0.46,0.24,11.5,0.051,56,171,0.99588,3.08,0.56,9.8,Good
6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11,Good
6.2,0.24,0.27,16.8,0.04,48,129,0.99691,3.23,0.38,10.5,Good
6.2,0.22,0.28,2.2,0.04,24,125,0.9917,3.19,0.48,10.5,Good
5.4,0.27,0.22,4.6,0.022,29,107,0.98889,3.33,0.54,13.8,Good
5.7,0.21,0.37,4.5,0.04,58,140,0.99332,3.29,0.62,10.6,Good
3.9,0.225,0.4,4.2,0.03,29,118,0.989,3.57,0.36,12.8,Good
7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,Good
6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,Good
5.7,0.36,0.21,6.7,0.038,51,166,0.9941,3.29,0.63,10,Good
6.1,0.38,0.2,6.6,0.033,25,137,0.9938,3.3,0.69,10.4,Good
8.2,0.22,0.3,1.8,0.047,47,185,0.9933,3.13,0.5,10.2,Good
6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,Good
6.7,0.22,0.39,10.2,0.038,60,149,0.99725,3.17,0.54,10,Good
8.6,0.18,0.36,1.8,0.04,24,187,0.9956,3.25,0.55,9.5,Good
8.5,0.16,0.33,1,0.076,17,57,0.9921,3.14,0.46,10.6,Good
6.6,0.27,0.3,1.9,0.025,14,153,0.9928,3.29,0.62,10.5,Good
6.9,0.19,0.33,1.6,0.039,27,98,0.9898,3.09,0.46,12.3,Good
7.4,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,Good
6.6,0.27,0.49,7.8,0.049,62,217,0.9959,3.17,0.45,9.4,Good
6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,Good
8.1,0.24,0.38,4.3,0.044,49,172,0.996,3.37,0.74,10.8,Good
7.9,0.18,0.36,5.9,0.058,31,132,0.995,3.25,0.52,10.9,Good
7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,Good
5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,Good
6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,Good
7.3,0.26,0.33,11.8,0.057,48,127,0.99693,3.1,0.55,10,Good
5.7,0.37,0.3,1.1,0.029,24,88,0.98883,3.18,0.39,11.7,Good
6.2,0.16,0.32,1.1,0.036,74,184,0.99096,3.22,0.41,11,Good
