@relation winequality-white-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N6-F2-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N3-F1-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N5-F4

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute Quality {Good,Bad}

@data
7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,Good
5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,Good
7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,Good
7.8,0.28,0.32,9,0.036,34,115,0.9952,3.17,0.39,10.3,Good
6.8,0.25,0.34,14,0.032,47,133,0.9952,3.37,0.5,12.2,Good
6,0.18,0.31,1.4,0.036,14,75,0.99085,3.34,0.58,11.1,Good
6.7,0.25,0.33,2.9,0.057,52,173,0.9934,3.02,0.48,9.5,Good
6.3,0.34,0.29,6.2,0.046,29,227,0.9952,3.29,0.53,10.1,Good
5.9,0.4,0.32,6,0.034,50,127,0.992,3.51,0.58,12.5,Good
7.3,0.39,0.37,1.1,0.043,36,113,0.991,3.39,0.48,12.7,Good
7.6,0.52,0.49,14,0.034,37,156,0.9958,3.14,0.38,11.8,Good
7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,Good
8.1,0.3,0.31,1.1,0.041,49,123,0.9914,2.99,0.45,11.1,Good
8.2,0.18,0.28,8.5,0.035,41,140,0.9952,3.04,0.37,10.1,Good
8.9,0.21,0.34,7.1,0.037,33,150,0.9962,3.1,0.45,9.7,Good
7,0.22,0.32,1.6,0.045,40,120,0.9914,2.98,0.44,10.5,Good
6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,Good
6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,Good
6.2,0.28,0.27,10.3,0.03,26,108,0.99388,3.2,0.36,10.7,Good
6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,Good
7.7,0.11,0.34,14.05,0.04,41,114,0.99634,3.07,0.59,11,Good
5.8,0.31,0.32,4.5,0.024,28,94,0.98906,3.25,0.52,13.7,Good
6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,Good
5.8,0.18,0.37,1.2,0.036,19,74,0.98853,3.09,0.49,12.7,Good
6.2,0.28,0.28,4.3,0.026,22,105,0.989,2.98,0.64,13.1,Good
7.2,0.27,0.31,1.2,0.031,27,80,0.98892,3.03,0.33,12.7,Good
7.2,0.33,0.22,4.5,0.031,10,73,0.99076,2.97,0.52,12.2,Good
6.5,0.25,0.27,17.4,0.064,29,140,0.99776,3.2,0.49,10.1,Good
6.2,0.3,0.28,1.6,0.036,28,106,0.988245,3.14,0.41,13.3,Good
7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,Good
7,0.22,0.3,1.4,0.04,14,63,0.98985,3.2,0.33,12,Good
7.4,0.16,0.33,1.2,0.042,47,121,0.99198,3.04,0.68,10.5,Good
6.2,0.2,0.28,1.1,0.039,24,78,0.9899,3.36,0.47,12.1,Good
7.1,0.39,0.3,9.9,0.037,29,124,0.99414,3.07,0.42,10.9,Good
5.7,0.27,0.16,9,0.053,32,111,0.99474,3.36,0.37,10.4,Good
6,0.34,0.29,6.1,0.046,29,134,0.99462,3.48,0.57,10.7,Good
6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,Good
6.5,0.19,0.3,0.8,0.043,33,144,0.9936,3.42,0.39,9.1,Good
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,Good
7,0.28,0.36,1,0.035,8,70,0.9899,3.09,0.46,12.1,Good
6.2,0.24,0.29,13.3,0.039,49,130,0.9952,3.33,0.46,11,Good
